Paragraph_ID,Doc_ID,Country,Year,Document_Name,entity_name,ner_label,qh_category,qh_sub_category,qh_exact_category
151,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Helmholtz-Gemeinschaft Deutscher Forschungszentren e,ORG,,,
151,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Helmholtz Association of German Research Centres,ORG,,,
151,2,GER,2023,Quantum Technologies Conceptual Framework Programme,HGF,ORG,,,
151,2,GER,2023,Quantum Technologies Conceptual Framework Programme,The Helmholtz Centres,ORG,,,
151,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Helmholtz Quantum,ORG,,,
151,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Helmholtz Association,ORG,,,
151,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Helmholtz,ORG,,,
157,2,GER,2023,Quantum Technologies Conceptual Framework Programme,DLR Quantum Computing Initiative,ORG,,,
157,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Max-Planck-Gesellschaft zur Förderung der Wissenschaften e,ORG,,,
157,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Max Planck Society for the Advancement of Science,ORG,,,
157,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Max Planck Society,ORG,,,
157,2,GER,2023,Quantum Technologies Conceptual Framework Programme,MPG,ORG,,,
157,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Max Planck Institute,ORG,,,
157,2,GER,2023,Quantum Technologies Conceptual Framework Programme,MPI,ORG,,,
157,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Quantum Optics,ORG,,,
157,2,GER,2023,Quantum Technologies Conceptual Framework Programme,MPI for Gravitational Physics,ORG,,,
157,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Physics of Light,ORG,,,
157,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Max Planck Institutes for Solid State Research in Stuttgart,ORG,,,
157,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Multidisciplinary Natural Sciences,ORG,,,
157,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Structure and Dynamics of Matter,ORG,,,
157,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Fritz Haber Institute,ORG,,,
157,2,GER,2023,Quantum Technologies Conceptual Framework Programme,QST,ORG,,,
159,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Garching,ORG,,,
164,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Max Planck Quantum Alliance,ORG,,,
164,2,GER,2023,Quantum Technologies Conceptual Framework Programme,MPQA,ORG,,,
164,2,GER,2023,Quantum Technologies Conceptual Framework Programme,MQV,ORG,,,
164,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Bavarian Academy of Sciences and Humanities,ORG,,,
164,2,GER,2023,Quantum Technologies Conceptual Framework Programme,BAdW,ORG,,,
164,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Ludwig- Maximilians-Universität München,ORG,,,
164,2,GER,2023,Quantum Technologies Conceptual Framework Programme,LMU,ORG,,,
164,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Tech-nische Universität München,ORG,,,
164,2,GER,2023,Quantum Technologies Conceptual Framework Programme,TUM,ORG,,,
164,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Friedrich- Alexander-Universität Erlangen-Nürnberg,ORG,,,
164,2,GER,2023,Quantum Technologies Conceptual Framework Programme,FAU,ORG,,,
164,2,GER,2023,Quantum Technologies Conceptual Framework Programme,Fraunhofer Gesellschaft,ORG,,,
